symbol,timeframe,rsi_period,oversold,overbought,ema_filter,sl_pct,tp_pct,trades,wins,losses,win_rate,total_pnl,profit_factor
XAU,1h,5,30,80,True,0.015,0.03,19,13,6,68.42,27.9815,3.9039
SOL,15m,14,10,85,True,0.03,0.06,3,2,1,66.67,8.6865,3.7953
XAU,15m,7,30,90,True,0.03,0.06,15,10,5,66.67,43.3995,3.7948
XAU,15m,7,30,70,True,0.03,0.06,15,10,5,66.67,43.4025,3.7945
XAU,15m,7,30,75,True,0.03,0.06,15,10,5,66.67,43.4025,3.7945
XAU,15m,7,30,80,True,0.03,0.06,15,10,5,66.67,43.4025,3.7945
XAU,1h,7,25,90,True,0.03,0.06,6,4,2,66.67,17.358,3.7943
XAU,1h,7,25,85,True,0.03,0.06,6,4,2,66.67,17.358,3.7943
XAU,1h,7,20,90,True,0.03,0.06,6,4,2,66.67,17.358,3.7943
XAU,1h,7,20,85,True,0.03,0.06,6,4,2,66.67,17.358,3.7943
XAU,1h,5,20,70,True,0.03,0.06,6,4,2,66.67,17.358,3.7943
XAU,1h,14,10,70,True,0.03,0.06,3,2,1,66.67,8.6805,3.7934
XAU,1h,14,10,75,True,0.03,0.06,3,2,1,66.67,8.6805,3.7934
XAU,15m,14,30,85,True,0.02,0.04,12,8,4,66.67,22.724,3.6988
AVAX,5m,14,10,80,True,0.02,0.04,12,8,4,66.67,22.738,3.6986
AVAX,5m,14,20,80,True,0.02,0.04,18,12,6,66.67,34.096,3.6983
SOL,15m,14,10,85,True,0.02,0.04,3,2,1,66.67,5.685,3.6981
SOL,5m,14,15,85,True,0.02,0.04,9,6,3,66.67,17.043,3.698
XAU,1h,5,30,90,True,0.02,0.04,15,10,5,66.67,28.403,3.6976
XAU,1h,7,30,75,True,0.02,0.04,15,10,5,66.67,28.401,3.6969
XAU,1h,5,25,80,True,0.02,0.04,15,10,5,66.67,28.401,3.6969
XAU,1h,7,10,75,True,0.02,0.04,12,8,4,66.67,22.722,3.6967
XAU,1h,7,15,75,True,0.02,0.04,12,8,4,66.67,22.722,3.6967
SOL,15m,14,10,85,True,0.015,0.03,3,2,1,66.67,4.1843,3.6042
XAU,1h,7,15,90,True,0.015,0.03,12,8,4,66.67,16.7235,3.6039
