symbol,timeframe,ema_fast,ema_slow,sl_pct,tp_pct,trades,wins,losses,win_rate,total_pnl,profit_factor,max_drawdown,sharpe,avg_win,avg_loss
DOGE,15m,8,100,0.02,0.04,188,55,133,0.2926,-0.65915,0.7647,0.84312,-2.5457,0.038945,-0.021061
AVAX,15m,13,50,0.02,0.04,178,52,126,0.2921,-0.62842,0.7632,0.71139,-2.4952,0.038947,-0.021061
AVAX,15m,13,21,0.015,0.03,279,83,196,0.2975,-0.7455,0.7632,0.93898,-3.136,0.028944,-0.016061
DOGE,15m,8,50,0.02,0.04,185,54,131,0.2919,-0.65599,0.7622,0.78311,-2.5556,0.038945,-0.021061
AVAX,15m,21,100,0.02,0.04,168,49,119,0.2917,-0.59795,0.7614,0.68939,-2.445,0.038947,-0.021062
AVAX,15m,5,34,0.03,0.06,91,26,65,0.2857,-0.486205,0.7592,0.656815,-1.8119,0.058954,-0.031062
SOL,15m,5,50,0.03,0.06,91,26,65,0.2857,-0.486295,0.7591,0.687195,-1.8124,0.058947,-0.03106
SOL,1h,13,50,0.02,0.04,124,36,88,0.2903,-0.45132,0.7565,0.64485,-2.2547,0.03894,-0.021059
SOL,15m,13,100,0.015,0.03,274,81,193,0.2956,-0.755417,0.7563,0.79752,-3.2124,0.028944,-0.016062
SOL,1h,21,50,0.015,0.03,193,57,136,0.2953,-0.53443,0.7553,0.64068,-2.8389,0.028942,-0.01606
DOGE,15m,5,34,0.02,0.04,190,55,135,0.2895,-0.70121,0.7534,0.82203,-2.7024,0.038944,-0.02106
SOL,15m,13,50,0.03,0.06,88,25,63,0.2841,-0.483055,0.7531,0.742925,-1.8338,0.058951,-0.031061
AVAX,5m,21,100,0.015,0.03,357,105,252,0.2941,-1.008255,0.7509,1.105527,-3.7249,0.028944,-0.016061
SOL,15m,5,21,0.03,0.06,92,26,66,0.2826,-0.51737,0.7476,0.715695,-1.924,0.058947,-0.03106
SOL,1h,8,34,0.02,0.04,139,40,99,0.2878,-0.52737,0.7471,0.63147,-2.495,0.038938,-0.021059
DOGE,1h,5,50,0.03,0.06,85,24,61,0.2824,-0.479845,0.7468,0.650365,-1.946,0.058955,-0.031062
AVAX,5m,13,50,0.02,0.04,223,64,159,0.287,-0.85609,0.7443,0.9623,-3.0231,0.038946,-0.021061
SOL,1h,21,50,0.02,0.04,122,35,87,0.2869,-0.46929,0.7439,0.72279,-2.3719,0.038941,-0.02106
SOL,1h,8,21,0.015,0.03,216,63,153,0.2917,-0.633832,0.742,0.724852,-3.1943,0.028942,-0.01606
DOGE,5m,13,100,0.02,0.04,227,65,162,0.2863,-0.88054,0.7419,0.89843,-3.0841,0.038944,-0.021061
AVAX,15m,13,34,0.015,0.03,285,83,202,0.2912,-0.841815,0.7405,1.009535,-3.5254,0.028945,-0.016061
AVAX,1h,8,100,0.03,0.06,50,14,36,0.28,-0.29291,0.738,0.376565,-1.5529,0.058949,-0.031061
