symbol,timeframe,bb_period,bb_std,rsi_confirm,adx_filter,tp_type,sl_pct,trades,win_rate,total_pnl,profit_factor
SOL,5m,14,2.0,None,ADX<35,1%,3.0%,330,0.7272727272727273,-0.6495799999999826,0.7676154088320372
SOL,5m,14,2.0,None,ADX<35,2%,1.5%,320,0.421875,-0.4140824999999719,0.8606295495680548
SOL,5m,14,2.0,None,ADX<35,2%,2.0%,266,0.5300751879699248,0.038140000000015384,1.0144879640497986
SOL,5m,14,2.0,None,ADX<35,2%,3.0%,210,0.6285714285714286,0.07757000000000994,1.0320186572554888
SOL,5m,14,2.0,None,ADX<35,3%,1.5%,241,0.3153526970954357,-0.4504374999999772,0.8300195759334021
SOL,5m,14,2.0,None,ADX<35,3%,2.0%,197,0.4416243654822335,0.20120500000000985,1.086855078219433
SOL,5m,14,2.0,None,ADX<35,3%,3.0%,154,0.512987012987013,-0.04314999999999189,0.9814758767834604
SOL,5m,14,2.0,RSI(14)<30/>70,None,mid_bb,1.5%,292,0.5342465753424658,-0.2845883456386884,0.8696927876451753
SOL,5m,14,2.0,RSI(14)<30/>70,None,mid_bb,2.0%,237,0.5822784810126582,-0.2406384675981861,0.8845720265747998
SOL,5m,14,2.0,RSI(14)<30/>70,None,mid_bb,3.0%,178,0.6797752808988764,0.4974972250658749,1.2810313909950124
SOL,5m,14,2.0,RSI(14)<30/>70,None,1%,1.5%,319,0.5956112852664577,-0.37305249999997664,0.8199216793681352
SOL,5m,14,2.0,RSI(14)<30/>70,None,1%,2.0%,286,0.6363636363636364,-0.563059999999985,0.7429020209492042
SOL,5m,14,2.0,RSI(14)<30/>70,None,1%,3.0%,242,0.7479338842975206,-0.27641999999998634,0.8540907327398571
SOL,5m,14,2.0,RSI(14)<30/>70,None,2%,1.5%,258,0.42248062015503873,-0.3284774999999792,0.8627241203137372
SOL,5m,14,2.0,RSI(14)<30/>70,None,2%,2.0%,228,0.5,-0.2417399999999877,0.8993052084374737
SOL,5m,14,2.0,RSI(14)<30/>70,None,2%,3.0%,185,0.6,-0.1960299999999896,0.9147050377241958
SOL,5m,14,2.0,RSI(14)<30/>70,None,3%,1.5%,215,0.3627906976744186,0.05719750000001862,1.0259977705482923
SOL,5m,14,2.0,RSI(14)<30/>70,None,3%,2.0%,188,0.43617021276595747,0.1407800000000095,1.0630666953374233
SOL,5m,14,2.0,RSI(14)<30/>70,None,3%,3.0%,149,0.5167785234899329,-0.00783499999999221,0.9964962883463053
SOL,5m,14,2.0,RSI(14)<30/>70,ADX<25,mid_bb,1.5%,141,0.5460992907801419,-0.02149734486088263,0.9790830991380368
SOL,5m,14,2.0,RSI(14)<30/>70,ADX<25,mid_bb,2.0%,133,0.6090225563909775,-0.06594671191120592,0.9397735922928219
