sweep,symbol,timeframe,sl_pct,rr,tp_pct,max_hold,trail_act,trail_dist,total_trades,wins,losses,win_rate,total_pnl,avg_win,avg_loss,profit_factor,max_dd,sharpe
RR,AVAX,1h,0.01,1.0,0.01,,,,85,46,39,0.5411764705882353,-0.020124999999994442,0.008939782608695714,-0.011060384615384548,0.9533446928863821,0.1598949999999972,-0.37713015425900054
RR,AVAX,1h,0.01,1.5,0.015,,,,83,38,45,0.4578313253012048,0.03201500000000356,0.013940000000000013,-0.011060111111111047,1.064325252910868,0.16987499999999772,0.49160209781123604
RR,AVAX,1h,0.01,2.0,0.02,,,,82,32,50,0.3902439024390244,0.053110000000005694,0.01894062500000008,-0.011059799999999939,1.0960415197381612,0.15198999999999682,0.7025692188641635
RR,AVAX,1h,0.01,2.5,0.025,,,,79,24,55,0.3037974683544304,-0.03373499999999529,0.02394000000000004,-0.011059909090909023,0.9445417108475402,0.1458974999999971,-0.42114053897121967
RR,AVAX,1h,0.01,3.0,0.03,,,,78,21,57,0.2692307692307692,-0.02265999999999451,0.028940714285714358,-0.011059912280701686,0.9640554238081348,0.11223499999999825,-0.25992392249324964
RR,AVAX,1h,0.015,1.0,0.015,,,,74,37,37,0.5,-0.07842499999999587,0.013940608108108125,-0.016060202702702614,0.8680219276287339,0.25666999999999685,-1.1215535835773591
RR,AVAX,1h,0.015,1.5,0.0225,,,,70,25,45,0.35714285714285715,-0.18662124999999502,0.02144225000000003,-0.01605949999999991,0.7417641340708736,0.27818999999999655,-2.3552310353266797
RR,AVAX,1h,0.015,2.0,0.03,,,,67,20,47,0.29850746268656714,-0.1759674999999941,0.02894300000000007,-0.01606015957446799,0.7668772004199698,0.25650249999999436,-2.0245371416960043
RR,AVAX,1h,0.015,2.5,0.0375,,,,66,18,48,0.2727272727272727,-0.11488499999999385,0.03644416666666675,-0.016059999999999908,0.8509690224159471,0.20017749999999754,-1.1817154277095345
RR,AVAX,1h,0.015,3.0,0.045,,,,66,18,48,0.2727272727272727,0.020130000000005612,0.04394500000000005,-0.016059999999999908,1.0261130136986374,0.18517749999999764,0.18117558888818064
RR,AVAX,1h,0.02,1.0,0.02,,,,61,26,35,0.4262295081967213,-0.24456999999999693,0.018941538461538544,-0.021058571428571402,0.6681771928634458,0.3181599999999984,-3.217521955205756
RR,AVAX,1h,0.02,1.5,0.03,,,,55,18,37,0.32727272727272727,-0.2582099999999977,0.028943333333333425,-0.021059189189189167,0.6686174103877132,0.3055399999999981,-3.17646625049937
RR,AVAX,1h,0.02,2.0,0.04,,,,53,16,37,0.3018867924528302,-0.1560499999999974,0.03894500000000011,-0.021058648648648627,0.7997227819346259,0.21689999999999926,-1.6967797739592443
RR,AVAX,1h,0.02,2.5,0.05,,,,53,16,37,0.3018867924528302,0.003970000000002187,0.04894625000000008,-0.021058648648648627,1.0050951653682791,0.1968899999999995,0.03699997588503152
RR,AVAX,1h,0.02,3.0,0.06,,,,51,16,35,0.3137254901960784,0.2061100000000024,0.05894750000000011,-0.021058571428571406,1.27964181534496,0.17687999999999926,1.7281535280170792
RR,AVAX,1h,0.03,1.0,0.03,,,,40,22,18,0.55,0.07769000000000226,0.028940000000000087,-0.031054999999999985,1.1389828082792217,0.13477999999999962,1.0330056314845781
RR,AVAX,1h,0.03,1.5,0.045,,,,37,20,17,0.5405405405405406,0.3509150000000013,0.04394000000000004,-0.031052058823529387,1.6647565284105468,0.09313500000000002,4.028537527415654
RR,AVAX,1h,0.03,2.0,0.06,,,,35,20,15,0.5714285714285714,0.7130050000000019,0.0589400000000001,-0.031052999999999983,2.5307270365718884,0.09313500000000002,7.261451218725562
RR,AVAX,1h,0.03,2.5,0.075,,,,30,12,18,0.4,0.3282900000000002,0.07393999999999996,-0.031054999999999982,1.5872913647829123,0.12418000000000004,3.377243502811617
RR,AVAX,1h,0.03,3.0,0.09,,,,27,11,16,0.4074074074074074,0.481545000000001,0.08894409090909096,-0.031052499999999972,1.9692154415908572,0.09316499999999991,4.801886039826477
RR,DOGE,1h,0.01,1.0,0.01,,,,92,41,51,0.44565217391304346,-0.19744999999999446,0.008940609756097641,-0.01105911764705878,0.6499206581385331,0.2172099999999967,-3.4273326811603697
RR,DOGE,1h,0.01,1.5,0.015,,,,91,34,57,0.37362637362637363,-0.1563499999999966,0.013941323529411784,-0.011058859649122767,0.7519651624878083,0.19962249999999776,-2.2551634621897283
RR,DOGE,1h,0.01,2.0,0.02,,,,90,31,59,0.34444444444444444,-0.06522499999999551,0.018942903225806516,-0.011058559322033862,0.9000314197914092,0.14403499999999753,-0.8069841947855312
RR,DOGE,1h,0.01,2.5,0.025,,,,90,26,64,0.28888888888888886,-0.08527499999999583,0.02394288461538466,-0.011059218749999959,0.8795193489594421,0.12001749999999921,-0.9480934422397977
RR,DOGE,1h,0.01,3.0,0.03,,,,89,24,65,0.2696629213483146,-0.024244999999995024,0.02894250000000009,-0.011059461538461499,0.9662732223713835,0.11483999999999955,-0.24360086082087345
RR,DOGE,1h,0.015,1.0,0.015,,,,82,37,45,0.45121951219512196,-0.20682999999999446,0.01394101351351354,-0.016058833333333224,0.7137885345206404,0.2811274999999958,-2.6821779766379814
